,tw,cn,vn,en-US
1,建立房間失敗,建立房间失败 ,Tạo phòng thất bại,
2,錯誤,错误,Lỗi,
3,成功,成功,Thành công,
4,點數不足,点数不足,Số điểm không đủ,
5,沒有進行遊戲的權限(洽客服),没有进行游戏的权限（洽客服）,Không có quyền hạn vào game(liên lạc dịch vụ khách hàng),
6,人數已滿,人数已满,Số người đã đủ,
7,遊戲結算中，請稍後再登入,游戏结算中，请稍後再登入,Đang kết toán vui lòng quay lại sau,
8,帳號或密碼錯誤,帐号或密码错误,Sai tài khoản hoặc mật khẩu bị sai,
9,版本錯誤,版本错误,Phiên bản bị lỗi,
10,遊戲維護中,游戏维护中,Đang bảo trì,
11,重複登入,重复登入,Đăng nhập lại,
12,之前遊戲局已結束,之前游戏局已结束,Ván trước đã kết thúc,
13,之前遊戲局尚未結束,之前游戏局尚未结束,Ván trước chưa kết thúc,
14,不支援此幣別,不支援此币别,Không hỗ trợ loại tiền này,
15,token失效,token 失效,Token thất bại,
16,API無回應,API 无回应,API không phản hồi,
17,餘額不足,余额不足,Số tiền dư không đủ,
18,遊戲版本更新，請先清除瀏覽資料(歷史紀錄丶Cookie丶快取等資料),游戏版本更新，请先清除浏览资料(历史纪录丶Cookie丶快取等资料),"Game cập nhật mới, xoá hết(lịch sử, Cookie,dữ liệu nhanh)",
19,登入失敗,登录失败,Đăng nhập thất bại,
20,伺服器沒有回應請稍後再試,伺服器没有回应请稍后再试,Hệ thống không phản hồi vui lòng quay lại sau,
21,代碼,代码,Mã,
22,餘額不足，請重新攜入,余额不足，请重新携入,"Số tiền dư không đủ, vui lòng nạp thêm",
23,遊戲即將進行維護,游戏即将进行维护,Game sắp bảo trì,
24,等待配局中,等待配局中,Đợi người chơi,
25,入局籌碼,准入,Số vốn vào bàn chơi,
26,因閒置過久與服務器連線中斷,因闲置过久与服务器连线中断,Treo máy quá lâu liên kết tới máy chủ gián đoạn,
27,伺服器連線中斷,服务器连线中断,Liên kết tới máy chủ gián đoạn,
28,連線中斷,连线中断,Liên kết gián đoạn,
29,載入中,载入中,Đang tải,
30,觀局中,观局中,Đang xem,
31,新手場,新手场,Tay chơi mới,
32,初級場,初级场,Cơ bản,
33,中級場,中级场,Trung cấp,
34,高級場,高级场,Cao cấp,
35,系統,系统,Hệ thống,
36,投注額不可高於所持籌碼的1/5,投注额不可高於您所持有筹码的1/5,Số tiền đặt cược ko vượt quá 1/5 số vốn đang có,
37,不可超過最大押注,不可超过最大押注,Không được cao hơn số cược tối đa,
38,不可低於最小押注,不可低於最小押注,Không đươc thấp hơn số cược tối thiểu,
39,已超過押注時間,已超过押注时间,Thời gian đặt cược đã qua,
40,押注低於0,押注低于0,Số đặt cược nhỏ hơn 0,
41,其他失敗,其他失败,Thất bại khác,
42,跳頁,跳页,Trang mới ,
43,下注後不可返回大廳,下注後不可返回大厅,Sau khi đã cược không được trở về trang trước,
44,所持籌碼必須至少為押注額的5倍,所持筹码必须至少为最小押注额的5倍,Số vốn đã có it nhất phải nhiều gấp 5 lần số tiền cược,
45,代理商維護中 即將關閉,代理商维护中 即将关闭,Đại lý đang tiến hành bảo trì    đóng liền,
46,超過三局未下注 即將返回,超过三局未下注 即将返回,Hơn 3 ván không đặt  cược  quay trở lại liền,
47,取點失敗,取点失败,Hơn 3 ván không đặt  cược ,
48,點擊任何地方關閉提示,点击任何地方关闭提示,Chấm vào bất cứ nơi nào để đóng lời nhắc,
49,入局失敗,入局失败,Vào bàn chơi thất bại,
50,等待遊戲新局,等待游戏新局,Chờ đợi trò chơi mới,
51,局數,局数,số bàn chơi,
52,遊戲連結已經失效，請重新登入。,游戏连接已失效，请重新进入游戏。,"Kết nối trò chơi đã hết hạn, vui lòng nhập lại trò chơi.",
53,連線到server中,連線到server中,Đang liên kết  với sever,
54,請重新登入,请重新登入,xin vui lòng đăng nhập lại,
55,即將在1秒後開始遊戲,即将在1秒后开始游戏,Bắt đầu trò chơi sau 1 giây,
56,即將在2秒後開始遊戲,即将在2秒后开始游戏,Bắt đầu trò chơi sau 2 giây,
57,即將在3秒後開始遊戲,即将在3秒后开始游戏,Bắt đầu trò chơi sau 3 giây,
58,餘額,余额,Số tiền còn lại ,
59,押注範圍,押注范围,Phạm vi đặt cược ,
60,超過三局未下注 請重新入局,超过三局未下注 请重新入局,Hơn 3 ván không đặt cược  vui lòng nhập laị bàn chơi mới ,
